,index,Price,Beds,Baths,Address,Postal_Code,City,Latitude,Longitude,Cluster
2195,2951,1499900,4,2,90 Gainsborough Rd,M4L 3B2,Toronto,43.6693,-79.3155,2
2196,2953,1687000,2,2,15 Lower Jarvis St 4104,M5E 0C4,Toronto,43.6456,-79.3754,2
2197,2955,2588000,3,3,77 Avenue Rd 515,M5R 3R9,Toronto,43.6736,-79.4035,2
2198,2956,899000,2,2,38 Forest Manor Rd 1302,M2J 1M4,North York ,43.7801,-79.3479,1
2199,2957,595000,1,1,4978 Yonge St 2511,M2N 7G9,Willowdale,43.7673,-79.4111,2
2200,2958,625000,1,1,36 Forest Manor Rd 317,M2J 1M4,North York ,43.7801,-79.3479,1
2201,2959,999000,3,3,36 Forest Manor Rd 405,M2J 1M4,North York ,43.7801,-79.3479,1
2202,2960,339000,3,2,657 Leach St,K8A 5A2,Pembroke,45.7466,-77.2047,1
2203,2961,990000,2,2,2520 Eglinton Ave 1418,M1K 2R5,Scarborough,43.7298,-79.2639,2
2204,2963,950000,2,2,2799 Kingston Rd 716,M1M 1V3,Scarborough,43.7247,-79.2312,2
2205,2967,284900,2,1,4673 Jane St 314,M3N 2S6,North York ,43.7568,-79.521,1
2206,2968,379000,2,1,3 Marine Parade Dr 909,M8V 1A2,Toronto,43.6075,-79.5013,2
2207,2969,602000,2,1,360 Ridelle Ave 901,M6E 2N4,York,43.6889,-79.4507,2
2208,2972,599900,4,3,2936 Rutledge Rd,K0H 2T0,Frontenac County,44.7208,-76.8334,3
2209,2973,609000,2,2,135 Brant St,L8L 5W8,Hamilton,43.2783,-79.8344,1
2210,2974,1099900,4,1,234 Verobeach Blvd,M9M 1S3,North York ,43.7366,-79.5401,1
2211,2976,999900,3,3,2799 Kingston Rd 923,M1M 1V3,Scarborough,43.7247,-79.2312,2
2212,2977,999000,2,2,11 Soho St 408,M5V 2A1,Toronto,43.6404,-79.3995,2
2213,2978,3200000,6,6,43 Longevity Rd,L6X 0B3,Brampton,43.6665,-79.8054,3
2214,2979,4390000,4,2,29 Boyle Dr,L4C 6M1,Richmond Hill ,43.8669,-79.4414,2
