,Price,Beds,Baths,Address,Postal_Code,City,Latitude,Longitude,Cluster
1625,849900,3,4,23 Davis St,N1E 0G1,Guelph,43.5677,-80.2418,0
1627,1899000,5,4,15 Berczy Creek Way,L6C 1A3,Markham,43.9045,-79.3392,2
1628,519000,3,2,114 Queen St,K7K 2Y5,Kingston,44.2569,-76.4717,1
1632,999000,3,3,201 King St,P3C 2V9,Greater Sudbury ,46.5133,-81.0225,2
1633,1299000,6,4,1557 Dellbrook Ave,L1X 2K5,Pickering,43.8558,-79.0972,3
1634,769000,3,3,17 Reevesmere Lane,L1Z 0H6,Ajax,43.8773,-79.0055,1
1635,1199900,5,4,23 Bertha Ave,M1L 3H1,Scarborough,43.7122,-79.2843,2
1636,899900,9,4,100 Cromwell Ave,L1J 0A1,Oshawa,43.8852,-78.8771,0
1638,988000,5,4,17 Cindy Nicholas Dr,M1E 4P6,Scarborough,43.7678,-79.1866,1
1640,1188800,4,3,182 Oakmeadow Blvd,M1E 4N1,Scarborough,43.7678,-79.1866,2
1641,799000,4,2,3 Way St,L1M 1B0,Whitby,43.9566,-78.9779,2
1642,5998800,6,7,157 Beechwood Ave,M2L 1L3,North York ,43.7547,-79.3764,2
1643,6280000,5,5,15 Castle Frank Cres,M4W 1J4,Toronto,43.6827,-79.373,3
1644,1345000,2,2,723 Dovercourt Rd,M6H 3L8,Toronto,43.6655,-79.4378,1
1645,2698000,6,4,5 Alamosa Dr,M2J 2P9,North York ,43.7801,-79.3479,0
1646,410000,1,2,318 Spruce St 1001,N2J 4V2,Waterloo,43.504,-80.5366,0
1647,334900,2,1,1465 Baseline Rd 716,K2C 3G1,Ottawa,45.3679,-75.7381,3
1648,959900,3,2,1 Palace Pier Crt 2210,M6S 5B5,Toronto,43.6512,-79.4828,0
1649,1500000,4,5,3375 Thomas St 1 & 2,N5P 1Z1,St. Thomas ,42.7779,-81.1769,3
1650,559900,3,2,625 The West Mall 1503,M9C 3S6,Etobicoke,43.6437,-79.5767,3
1651,288800,2,1,4673 Jane St 713,M3N 2S6,North York ,43.7568,-79.521,2
1652,749000,2,2,88 Palace Pier Crt #905,M6S 5B5,Toronto,43.6512,-79.4828,3
1653,525500,2,1,15 Michael Power Pl 604,M9A 5G1,Etobicoke,43.6662,-79.5282,0
1655,648000,2,2,10971 Bayview Ave 731,L4C 3L3,Richmond Hill ,43.8669,-79.4414,1
1656,499800,2,1,18 Lee Centre Dr 1805,M1H 1H9,Scarborough,43.7686,-79.2389,1
1657,749888,2,2,10 Guildwood Pkwy 718,M1E 1N9,Scarborough,43.7678,-79.1866,3
1658,388000,3,2,100 Mornelle Crt 1059,M1C 0C7,Scarborough,43.7878,-79.1564,1
1660,2248000,3,3,20 Blue Jays Way 2301,M5V 1J4,Toronto,43.6404,-79.3995,2
1663,836000,2,2,30 Roehampton Ave 3005,M4P 2C9,Toronto,43.7135,-79.3887,1
1664,799000,2,2,39 Brant St 202,M5V 3N1,Toronto,43.6404,-79.3995,1
1665,489000,1,1,60 Byng Ave 1506,M2N 7H4,Willowdale,43.7673,-79.4111,1
1666,799900,2,1,17 Bathurst St 4110,K2K 3A7,Kanata,45.3704,-75.9198,2
1667,639000,1,1,75 Queens Wharf Rd 310,M5V 2V6,Toronto,43.6404,-79.3995,2
1670,1269000,3,3,360 Bloor St 1010,L5A 3R8,Mississauga,43.5883,-79.6091,0
1673,649900,5,2,30 Dudhope Ave,N1R 2V5,Cambridge,43.3666,-80.2239,3
1674,449900,2,2,248 Dufferin Ave,N3T 5B1,Brant,43.131,-80.3254,0
1675,599900,3,2,99 East 44th St,L8T 1P9,Hamilton,43.2199,-79.8286,2
1678,799000,3,2,19 Macteith Crt Crt,N1R 8M5,Cambridge,43.3666,-80.2239,3
1681,659000,3,3,19 Durham St,K7L 1G2,Kingston,44.2955,-76.428,1
1682,1099000,4,4,30 Dewridge Crt,L6R 0C1,Brampton,43.7592,-79.7605,1
1684,1800000,3,3,106 King St,M5V 1M7,Toronto,43.6404,-79.3995,3
1685,1199000,7,3,7272 Harwick Dr,L4T 1V9,Mississauga,43.7139,-79.6434,3
1686,1455999,6,3,3090 Churchill Ave,L4T 4J3,Mississauga,43.7139,-79.6434,0
1687,1248000,4,2,64 Durie St,M6S,Toronto,43.6512,-79.4828,0
1689,999990,7,3,6906 Darcel Ave,L4T 4M1,Mississauga,43.7139,-79.6434,2
1690,1599000,4,4,8 Malborough Rd,L6B 0S1,Markham,43.9007,-79.2175,2
1694,4950000,6,8,134 Hillsview Dr,L4C 0A6,Richmond Hill ,43.8669,-79.4414,3
1696,829900,2,2,25 Pollock Ave,N1R 1W5,Cambridge,43.3666,-80.2239,2
1697,899900,3,4,68 Blanchard Cres,N6G 3M2,London,43.0147,-81.3049,1
1699,3600000,9,4,41 Wineva Ave,M4E 1G3,Toronto,43.6784,-79.2941,2
1700,1299000,6,5,852 Coldstream Dr,L1K 2P6,Oshawa,43.9251,-78.8287,2
1701,699000,4,2,1170 Nelson St,L1H,Oshawa,43.9721,-78.8837,2
1702,999000,5,4,268 Ashdale Ave,M4L 1Z6,Toronto,43.6693,-79.3155,2
1703,1398000,3,2,18 Mallon Ave,M4M 3C9,Toronto,43.6561,-79.3406,2
1705,1588800,4,3,148 Major St,M5S 1G6,Toronto,43.6629,-79.3987,1
1706,1280000,4,2,5 Nordic Pl,M3A 1E9,North York ,43.7545,-79.33,2
1707,4000000,10,6,103 Chatsworth Dr,M4R 1S7,Toronto,43.7143,-79.4065,1
1708,1098000,4,4,9 Dora Ave,M6R 2B2,Toronto,43.6469,-79.4521,3
1709,598000,2,2,1 Rowntree Rd 1415,M9V 5C7,Etobicoke,43.7432,-79.5876,3
1710,899900,2,1,20 Gothic Ave 407,M6P,Toronto,43.6605,-79.4633,2
1711,599000,2,1,2065 Appleby Line 309,L7L 7H7,Burlington,43.3799,-79.7668,1
1712,999900,3,2,3980 Confederation Park 6000,K1V 6J3,Ottawa,45.3281,-75.6719,3
1713,549000,1,1,339 Rathburn Rd 1202,M9B 2R5,Etobicoke,43.6505,-79.5517,3
1714,789990,2,2,1400 Dixie Rd 416,L5E 1V4,Mississauga,43.5836,-79.561,1
1715,569000,2,2,6 Humberline Dr 201,M9W 7H3,Etobicoke,43.7144,-79.5909,0
1716,749900,3,2,40 Baif Blvd 1010,L4C 5E2,Richmond Hill ,43.8669,-79.4414,3
1717,699999,3,2,23 Cox Blvd 955,L3R 0M3,Markham,43.8479,-79.3288,0
